"","var1","var2","var3","var4","var5"
"1","local association","environment and climate change",1,"contribute ideas","a potential job opportunity at a local institution"
"2","local association","environment and climate change",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"3","local association","environment and climate change",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"4","local association","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"5","local association","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"6","local association","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"7","local association","environment and climate change",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"8","local association","environment and climate change",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"9","local association","environment and climate change",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"10","local association","environment and climate change",7,"contribute ideas","a potential job opportunity at a local institution"
"11","local association","environment and climate change",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"12","local association","environment and climate change",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"13","local association","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"14","local association","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"15","local association","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"16","local association","environment and climate change",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"17","local association","environment and climate change",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"18","local association","environment and climate change",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"19","local association","environment and climate change",25,"contribute ideas","a potential job opportunity at a local institution"
"20","local association","environment and climate change",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"21","local association","environment and climate change",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"22","local association","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"23","local association","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"24","local association","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"25","local association","environment and climate change",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"26","local association","environment and climate change",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"27","local association","environment and climate change",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"28","local association","political and cultural rights",1,"contribute ideas","a potential job opportunity at a local institution"
"29","local association","political and cultural rights",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"30","local association","political and cultural rights",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"31","local association","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"32","local association","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"33","local association","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"34","local association","political and cultural rights",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"35","local association","political and cultural rights",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"36","local association","political and cultural rights",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"37","local association","political and cultural rights",7,"contribute ideas","a potential job opportunity at a local institution"
"38","local association","political and cultural rights",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"39","local association","political and cultural rights",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"40","local association","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"41","local association","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"42","local association","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"43","local association","political and cultural rights",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"44","local association","political and cultural rights",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"45","local association","political and cultural rights",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"46","local association","political and cultural rights",25,"contribute ideas","a potential job opportunity at a local institution"
"47","local association","political and cultural rights",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"48","local association","political and cultural rights",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
