"","var1","var2","var3","var4","var5"
"1","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"contribute ideas","a potential job opportunity at a local institution"
"2","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"3","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"4","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"5","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"6","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"7","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"8","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"9","Lebanese delegation of an international non-governmental organization","environment and climate change",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"10","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"contribute ideas","a potential job opportunity at a local institution"
"11","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"12","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"13","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"14","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"15","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"16","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"17","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"18","Lebanese delegation of an international non-governmental organization","environment and climate change",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"19","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"contribute ideas","a potential job opportunity at a local institution"
"20","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"21","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"22","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"23","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"24","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"25","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"26","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"27","Lebanese delegation of an international non-governmental organization","environment and climate change",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"28","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"contribute ideas","a potential job opportunity at a local institution"
"29","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"30","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"31","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"32","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"33","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"34","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"35","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"36","Lebanese delegation of an international non-governmental organization","political and cultural rights",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"37","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"contribute ideas","a potential job opportunity at a local institution"
"38","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"39","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"contribute ideas","the opportunity to spend quality time with like-minded people"
"40","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"41","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"42","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"43","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"44","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"45","Lebanese delegation of an international non-governmental organization","political and cultural rights",7,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"46","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"contribute ideas","a potential job opportunity at a local institution"
"47","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"48","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"contribute ideas","the opportunity to spend quality time with like-minded people"
"49","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"50","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"51","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"52","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"53","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"54","Lebanese delegation of an international non-governmental organization","political and cultural rights",25,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
"55","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"contribute ideas","a potential job opportunity at a local institution"
"56","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"contribute ideas","the opportunity to become the local leader of the organization in the long term"
"57","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"contribute ideas","the opportunity to spend quality time with like-minded people"
"58","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","a potential job opportunity at a local institution"
"59","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to become the local leader of the organization in the long term"
"60","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people"
"61","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"distribute charity to the poor in the area","a potential job opportunity at a local institution"
"62","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term"
"63","Lebanese delegation of an international non-governmental organization","unemployment and poverty",1,"distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people"
