"","var1","var2","var3","var4","var5","var6","var7","var8"
"1","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"2","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"3","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"4","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"5","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"6","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"7","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"8","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"9","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"10","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local association","environment and climate change","1 year"
"11","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local association","environment and climate change","25 years"
"12","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local association","environment and climate change","7 years"
"13","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local association","political and cultural rights","1 year"
"14","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year","contribute ideas","a potential job opportunity at a local institution","local association","political and cultural rights","25 years"
